food_name,date_added,date_modified,online_sales?,total_sales?,approved,errors
dill,02/01/1900,16/04/2017,139,1482,1.0,date added is incorrect
doughnut,02/01/2018,16/02/2018,895,4828,1.0,
yolk,02/01/2018,02/09/2019,226,1890,1.0,
mutton,04/01/2018,11/11/2019,1861,2850,1.0,
tuna,08/01/2018,04/11/2019,4221,907,1.0,
wafer,08/01/2018,31/12/2019,1102,3047,1.0,
preserves,09/01/2018,12/10/2018,44,4143,1.0,
mashed potatoes,11/01/2018,05/03/2019,624,3679,1.0,
blood orange,12/01/2018,13/12/2018,3228,3672,1.0,
omelet,12/01/2018,19/05/2018,4280,582,1.0,
wasabi,12/01/2018,04/12/2019,4176,682,1.0,
nectar,15/01/2018,13/12/2018,1253,930,1.0,
butter bean,17/01/2018,13/08/2018,66,3438,1.0,
caviar,19/01/2018,26/12/2018,2391,816,1.0,
aspic,21/01/2018,03/10/2018,696,3623,1.0,
chard,26/01/2018,19/01/2019,2970,2704,1.0,
dates,29/01/2018,20/04/2018,1767,152,1.0,
kidney beans,30/01/2018,22/12/2019,1305,3055,1.0,
zucchini,31/01/2018,06/06/2019,2108,2689,1.0,
peach,02/02/2018,12/08/2019,3082,3399,1.0,
jug,03/02/2018,25/12/2018,1333,4745,1.0,
hot sauce,04/02/2018,26/04/2018,4229,363,1.0,
beans,07/02/2018,15/10/2018,4157,2778,1.0,
chick peas,10/02/2018,08/11/2018,993,3304,1.0,
blackberry,13/02/2018,22/09/2018,687,2209,1.0,
alfalfa sprouts,15/02/2018,03/12/2019,227,4313,1.0,
fritter,19/02/2018,10/08/2019,3171,2436,1.0,
sausage,22/02/2018,30/09/2018,4039,2977,1.0,
mints,24/02/2018,27/11/2018,2893,2712,1.0,
popovers,28/02/2018,13/03/2019,1600,143,1.0,
burrito,01/03/2018,16/08/2019,536,4655,1.0,
lentils,01/03/2018,20/12/2019,2202,4435,1.0,
bell pepper,04/03/2018,08/08/2018,2037,1500,1.0,
crab,07/03/2018,21/10/2019,1126,4011,1.0,
apricot,09/03/2018,20/07/2019,1644,1624,1.0,
cranberry,11/03/2018,04/09/2019,60,3294,1.0,
pattypan squash,11/03/2018,19/06/2018,1091,1240,1.0,
salmon,12/03/2018,08/04/2018,1470,1998,1.0,
prune,16/03/2018,24/01/2019,1714,1963,1.0,
pork,17/03/2018,28/02/2019,1287,1837,1.0,
guava,18/03/2018,05/05/2018,865,2219,1.0,
stringy,22/03/2018,02/09/2018,966,4861,1.0,
pea,23/03/2018,02/12/2019,254,283,1.0,
rice,23/03/2018,10/03/2019,0,0,,no sales data or approval data
blueberry,24/03/2018,17/07/2018,2910,3046,1.0,
bran,24/03/2018,10/04/2019,3245,1234,1.0,
sprinkles,24/03/2018,21/05/2018,3293,1122,1.0,
sole,25/03/2018,19/05/2019,1862,1989,1.0,
cod,27/03/2018,24/10/2019,3603,4028,1.0,
salsa,30/03/2018,03/08/2018,992,2939,1.0,
menu,31/03/2018,18/09/2019,1136,3365,1.0,
okra,03/04/2018,19/09/2019,3607,3691,1.0,
strawberry,03/04/2018,21/05/2018,1644,396,1.0,
icing,04/04/2018,21/10/2019,1665,2785,1.0,
cottage cheese,05/04/2018,22/04/2018,3586,4172,1.0,
