ID,Age,Work_Experience,Family_Size,Gender_lb,Ever_Married_lb,Graduated_lb,Profession_lb,Spending_Score_lb,Var_1_lb
458989,36,0.0,1.0,0,1,1,2,2,5
458994,37,8.0,4.0,1,1,1,5,0,5
459000,59,11.0,2.0,1,1,0,4,1,5
459003,47,0.0,5.0,1,1,1,1,1,3
459005,61,5.0,3.0,1,1,1,1,2,5
459008,47,1.0,3.0,0,1,1,0,0,5
459013,50,2.0,4.0,1,1,1,0,0,5
459014,19,0.0,4.0,1,0,0,5,2,5
459015,22,0.0,3.0,1,0,0,5,2,5
459016,22,0.0,6.0,0,0,0,5,2,5
459024,50,1.0,5.0,1,1,1,0,0,5
459026,27,8.0,3.0,1,0,0,5,2,2
459032,18,0.0,3.0,1,0,0,1,2,5
459033,61,0.0,1.0,0,1,1,0,2,5
459036,20,1.0,3.0,0,1,1,7,0,2
459039,45,1.0,2.0,1,1,1,0,0,5
459041,55,8.0,1.0,1,1,1,0,2,5
459045,88,1.0,4.0,0,1,1,7,0,5
459058,42,0.0,4.0,1,0,1,0,2,2
459061,35,9.0,3.0,0,1,1,5,1,5
459064,27,5.0,4.0,1,1,0,4,1,5
459074,29,0.0,4.0,0,0,1,5,2,3
459077,79,1.0,2.0,0,1,0,7,1,5
459080,89,1.0,2.0,1,1,0,7,2,5
459090,31,1.0,2.0,1,0,0,0,2,5
459091,72,1.0,6.0,1,1,1,0,0,0
459100,61,11.0,1.0,0,0,1,0,2,5
459106,62,0.0,2.0,1,1,1,0,2,5
459114,56,1.0,2.0,1,1,1,0,0,5
459116,60,2.0,5.0,1,1,1,0,0,5
459117,68,0.0,2.0,1,1,1,0,1,5
459119,57,8.0,3.0,1,1,1,4,1,5
459120,19,5.0,5.0,1,0,0,5,2,1
459121,51,3.0,6.0,0,1,1,0,0,5
459123,86,1.0,2.0,0,1,0,0,1,5
459130,74,1.0,2.0,0,1,0,7,1,5
459132,23,6.0,2.0,1,0,0,3,2,5
459136,47,0.0,2.0,1,1,1,0,0,5
459140,19,7.0,6.0,0,0,0,5,2,5
459143,50,0.0,4.0,1,1,0,0,1,5
