,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Kmeans_7,Cat
0,458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,3,Cat_3
1,458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,6,Cat_6
3,459000,Male,Yes,59,No,Executive,11.0,High,2.0,Cat_6,1,Cat_1
5,459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,1,Cat_1
6,459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,4,Cat_4
7,459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,5,Cat_5
8,459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,6,Cat_6
9,459014,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
10,459015,Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,2,Cat_2
11,459016,Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,2,Cat_2
12,459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,6,Cat_6
13,459026,Male,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,2,Cat_2
14,459032,Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,2,Cat_2
15,459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,3,Cat_3
16,459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,5,Cat_5
17,459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,6,Cat_6
18,459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,Cat_6,4,Cat_4
19,459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,Cat_6,5,Cat_5
22,459058,Male,No,42,Yes,Artist,0.0,Low,4.0,Cat_3,0,Cat_0
24,459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,Cat_6,5,Cat_5
25,459064,Male,Yes,27,No,Executive,5.0,High,4.0,Cat_6,1,Cat_1
27,459074,Female,No,29,Yes,Healthcare,0.0,Low,4.0,Cat_4,3,Cat_3
28,459077,Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
30,459080,Male,Yes,89,No,Lawyer,1.0,Low,2.0,Cat_6,4,Cat_4
32,459090,Male,No,31,No,Artist,1.0,Low,2.0,Cat_6,2,Cat_2
33,459091,Male,Yes,72,Yes,Artist,1.0,Average,6.0,Cat_1,6,Cat_6
35,459100,Female,No,61,Yes,Artist,11.0,Low,1.0,Cat_6,3,Cat_3
36,459106,Male,Yes,62,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
37,459114,Male,Yes,56,Yes,Artist,1.0,Average,2.0,Cat_6,6,Cat_6
38,459116,Male,Yes,60,Yes,Artist,2.0,Average,5.0,Cat_6,6,Cat_6
39,459117,Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
41,459119,Male,Yes,57,Yes,Executive,8.0,High,3.0,Cat_6,1,Cat_1
42,459120,Male,No,19,No,Healthcare,5.0,Low,5.0,Cat_2,2,Cat_2
43,459121,Female,Yes,51,Yes,Artist,3.0,Average,6.0,Cat_6,5,Cat_5
44,459123,Female,Yes,86,No,Artist,1.0,High,2.0,Cat_6,1,Cat_1
45,459130,Female,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
46,459132,Male,No,23,No,Entertainment,6.0,Low,2.0,Cat_6,2,Cat_2
47,459136,Male,Yes,47,Yes,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
48,459140,Female,No,19,No,Healthcare,7.0,Low,6.0,Cat_6,2,Cat_2
49,459143,Male,Yes,50,No,Artist,0.0,High,4.0,Cat_6,1,Cat_1
52,459150,Female,No,48,Yes,Doctor,0.0,Low,1.0,Cat_6,3,Cat_3
53,459160,Male,Yes,70,Yes,Doctor,1.0,Average,2.0,Cat_6,6,Cat_6
54,459161,Male,Yes,50,Yes,Executive,3.0,High,5.0,Cat_6,1,Cat_1
55,459162,Female,Yes,83,Yes,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
56,459163,Male,No,35,Yes,Entertainment,0.0,Low,1.0,Cat_6,0,Cat_0
